ThreeDigitZip,AirportCode
005,JFK
010,SPR
011,SPR
012,SPR
013,SPR
014,BOS
015,BOS
016,BOS
017,BOS
018,BOS
019,BOS
020,BOS
021,BOS
022,BOS
023,BOS
024,BOS
025,BOS
026,BOS
027,BOS
029,BOS
030,BNH
032,BNH
033,BNH
036,BNH
038,AUG
039,AUG
040,AUG
041,AUG
043,AUG
048,AUG
050,BNH
053,ALB
061,BDL
072,EWR
074,EWR
076,EWR
079,EWR
083,PHL
120,ALB
127,ALB
142,BUF
147,BUF
216,BWI
044,AUG
045,AUG
047,AUG
049,AUG
054,ALB
058,BNH
060,BDL
064,BDL
075,EWR
122,ALB
129,ALB
132,SYR
134,SYR
138,ELM
160,PIT
179,MDT
247,CRW
085,EWR
106,BDL
175,MDT
208,BWI
028,BOS
034,BNH
046,AUG
055,BOS
056,BNH
062,BDL
084,PHL
100,JFK
108,BDL
113,JFK
114,JFK
117,JFK
121,ALB
141,BUF
209,BWI
215,WGO
031,BNH
035,BNH
042,AUG
051,BNH
052,ALB
063,BDL
067,BDL
070,EWR
077,EWR
078,EWR
082,PHL
086,EWR
087,EWR
102,JFK
103,JFK
104,JFK
107,BDL
110,JFK
118,JFK
124,ALB
126,ALB
133,SYR
135,SYR
137,ELM
143,BUF
144,ROC
153,PIT
155,PIT
158,PIT
164,ERI
166,MDT
168,MDT
171,MDT
177,MDT
183,ABE
192,PHL
195,PHL
201,DCA
203,DCA
204,DCA
212,BWI
218,BWI
233,ORF
246,CRW
260,PIT
264,CRW
272,GSO
057,BNH
059,BNH
073,EWR
080,PHL
109,BDL
115,JFK
123,ALB
130,SYR
139,ELM
146,ROC
156,PIT
159,PIT
167,ERI
172,MDT
176,MDT
178,MDT
189,ABE
191,PHL
193,PHL
198,BWI
199,BWI
207,BWI
210,BWI
214,BWI
217,WGO
222,DCA
223,DCA
224,RIC
231,RIC
232,RIC
234,ORF
251,CRW
252,CRW
254,WGO
261,CRW
265,PIT
268,WGO
225,RIC
287,GSP
288,GSP
289,CHA
297,CLT
309,GSP
310,MCN
320,JAX
321,JAX
324,THL
326,JAX
334,MIA
339,MIA
341,MIA
350,BHM
358,DCU
366,MOB
373,CHA
378,TYS
438,CMH
444,CLE
447,CLE
543,GRB
756,SHV
813,GJT
419,
612,MLI
645,MCI
066,BDL
037,BNH
069,BDL
071,EWR
081,PHL
088,EWR
089,EWR
101,JFK
111,JFK
112,JFK
128,ALB
136,SYR
150,PIT
152,PIT
154,PIT
161,PIT
162,PIT
165,ERI
169,ELM
181,ABE
185,ABE
200,DCA
240,ROA
242,TYS
244,ROA
248,CRW
253,CRW
258,CRW
259,CRW
263,CRW
275,RDU
065,BDL
068,BDL
105,BDL
116,JFK
119,JFK
125,ALB
131,SYR
145,ROC
151,PIT
157,PIT
163,ERI
